"The page template is invalid.","Szablon strony jest nieprawidłowy."
"Cannot create a revision of a revision","Nie można utworzyć alternatywnej wersji alternatywnej wersji"
"You do not have permission to preview drafts.","Nie posiadasz uprawnienia do podglądu szkiców."
"Cannot create a user with an empty login name.","Nie można utworzyć konta bez nazwy."
"An error has occurred, which probably means the feed is down. Try again later.","Wystąpił błąd, co prawdopodobnie oznacza, że kanał nie działa. Spróbuj ponownie później."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Zamierzasz usunąć zaznaczone pozycje na zawsze.\n  Kliknij 'Anuluj', aby anulować tę operację, lub 'OK', aby ją sfinalizować."
"Enter a word to look up:","Wprowadź słowo, które chcesz wyszukać:"
"Dictionary lookup","Wyszukiwanie w słowniku"
"lookup","szukaj"
"Close all open tags","Zamknij wszystkie otwarte tagi"
"close tags","zamknij tagi"
"Enter the URL","Wprowadź adres URL"
"Enter the URL of the image","Wprowadź adres URL obrazka"
"Enter a description of the image","Wprowadź opis obrazka"
"You do not have permission to do that.","Nie posiadasz uprawnienia do wykonania tej operacji."
"An unidentified error has occurred.","Wystąpił niezidentyfikowany błąd."
"Next &gt;","Następne &raquo;"
"&lt; Prev","&laquo; Poprzednie"
"of","z"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Ta funkcja wymaga użycia ramek inline. Obsługa iframe'ów jest w Twojej przeglądarce wyłączona lub nie są one przez nią obsługiwane."
"not configured","nie skonfigurowano"
"You have attempted to queue too many files.","Próbowano dodać do kolejki zbyt wiele plików."
"This file is empty. Please try another.","Ten plik jest pusty. Proszę spróbować wysłać inny."
"This file type is not allowed. Please try another.","Wysyłanie plików tego typu nie jest dozwolone. Proszę spróbować wysłać inny plik."
"An error occurred in the upload. Please try again later.","Wystąpił błąd podczas wysyłania pliku na serwer. Proszę spróbować ponownie później."
"There was a configuration error. Please contact the server administrator.","W konfiguracji znajduje się błąd. Proszę skontaktować się z administratorem serwera."
"You may only upload 1 file.","Możesz wysłać tylko jeden plik."
"HTTP error.","Błąd HTTP."
"Upload failed.","Wysyłanie nie powiodło się."
"IO error.","Błąd wejścia/wyjścia."
"Security error.","Błąd zabezpieczeń."
"Upload stopped.","Wysyłanie zostało zatrzymane."
"Crunching&hellip;","Dzielenie&hellip;"
"moved to the trash.","został przeniesiony do kosza."
"Separate multiple categories with commas.","Oddziel kolejne kategorie przecinkami."
"Medium","Średni"
"Publish on:","Opublikuj:"
"Schedule for:","Zaplanuj na:"
"Published on:","Opublikowany:"
"Show more comments","Pokaż więcej komentarzy"
"No more comments found.","Nie znaleziono więcej komentarzy."
"Password Protected","Zabezpieczony hasłem"
"Submitted on:","Wysłany:"
"Error while saving the changes.","Błąd zapisu zmian."
"Remove From Bulk Edit","Nie poddawaj masowej edycji"
"Plugin Information:","Informacje o wtyczce:"
"Saving...","Zapisywanie..."
"Could not set that as the thumbnail image. Try a different attachment.","Nie można było ustawić tego pliku jako miniatury. Proszę spróbować użyć innego załącznika."
"Saving Draft&#8230;","Zapisywanie szkicu&#8230;"
"Empty Term","Brak terminu"
"Invalid term ID","Nieprawidłowy identyfikator terminu"
"A name is required for this term","Wymagane jest wprowadzenie nazwy dla tego terminu"
"Could not insert term into the database","Nie można było dodać pozycji do bazy danych"
"The slug &#8220;%s&#8221; is already in use by another term","Uproszczona nazwa &#8222;%s&#8221; jest już używana przez inny element"
"Invalid object ID","Nieprawidłowy identyfikator elementu"
"Template is missing.","Brak szablonu."
"The parent theme is missing. Please install the \"%s\" parent theme.","Brak motywu nadrzędnego. Proszę zainstalować motyw nadrzędny pt. &#8222;%s&#8221;."
"Stylesheet is missing.","Brak arkusza stylów."
"<strong>ERROR</strong>: The username field is empty.","<strong>BŁĄD</strong>: Pole &#8222;Nazwa użytkownika&#8221; jest puste."
"<strong>ERROR</strong>: The password field is empty.","<strong>BŁĄD</strong>: Pole &#8222;Hasło&#8221; jest puste."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>BŁĄD</strong>: Nieprawidłowa nazwa użytkownika. <a href=\"%s\" title=\"Hasło utracone i znalezione\">Nie pamiętasz swojego hasła</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>BŁĄD</strong>: Twoje konto zostało oznaczone jako konto spamera."
"Please log in again.","Proszę zalogować się ponownie."
"Sidebar %d","Panel boczny nr %d"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>BŁĄD</strong>: WordPress %s wymaga MySQL-a w wersji %s lub nowszej"
"Powered by WordPress","Oparte na WordPressie"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>BŁĄD</strong>: Wprowadź nazwę użytkownika lub adres e-mail."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>BŁĄÐ</strong>: Brak zarejestrowanego użytkownika o wprowadzonym adresie e-mail."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>BŁĄD</strong>: Nieprawidłowa nazwa użytkownika lub e-mail."
"Password reset is not allowed for this user","Generowanie nowego hasła do tego konta użytkownika jest niedozwolone"
"[%s] Password Reset","[%s] Ustawianie nowego hasła"
"The e-mail could not be sent.","E-mail nie mógł zostać wysłany."
"Possible reason: your host may have disabled the mail() function...","Możliwa przyczyna: administrator Twojego serwera wyłączył funkcję mail()..."
"Invalid key","Nieprawidłowy klucz"
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>BŁĄD</strong>: Proszę wprowadzić swój adres e-mail."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>BŁĄD</strong>: Wprowadzony adres e-mail nie jest prawidłowy."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>BŁĄD</strong>: Rejestracja nie mogła zostać przeprowadzona... proszę skontaktować się z <a href=\"mailto:%s\">webmasterem</a>!"
"Sorry, that key does not appear to be valid.","Przepraszamy, ten klucz nie wydaje się być prawidłowy."
"Lost Password","Utracone hasło"
"Username or E-mail:","Nazwa użytkownika lub e-mail:"
"Get New Password","Zdobądź nowe hasło"
"Are you lost?","Potrzebujesz pomocy?"
"&larr; Back to %s","&larr; Powrót do witryny &#8222;%s&#8221;"
"Registration Form","Formularz rejestracyjny"
"Register For This Site","Zarejestruj się na tej witrynie"
"A password will be e-mailed to you.","Hasło zostanie wysłane e-mailem."
"Password Lost and Found","Hasło utracone i znalezione"
"Lost your password?","Nie pamiętasz hasła?"
"You have logged in successfully.","Zalogowano się pomyślnie."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>BŁĄD</strong>: Ciasteczka są blokowane lub nieobsługiwane przez Twoją przeglądarkę. Musisz <a href='http://www.google.com/cookies.html'>włączyć obsługę ciasteczek</a>, by móc używać WordPressa."
"You are now logged out.","Wylogowano się."
"User registration is currently not allowed.","Rejestracja użytkowników jest obecnie niedozwolona."
"Check your e-mail for the confirmation link.","Odnośnik potwierdzający został wysłany e-mailem."
"Check your e-mail for your new password.","Nowe hasło zostało wysłane e-mailem."
"Registration complete. Please check your e-mail.","Rejestracja została ukończona. Proszę sprawdzić e-maila."
"Your session has expired. Please log-in again.","Twoja sesja wygasła. Proszę zalogować się ponownie."
"Slow down cowboy, no need to check for new mails so often!","Zwolnij trochę, kowboju, nie ma potrzeby sprawdzać czy są nowe wiadomości tak często!"
"There doesn&#8217;t seem to be any new mail.","Wygląda na to, że nie ma żadnych nowych wiadomości."
"Author is %s","Autorem jest %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Tytuł publikacji:</strong> %s"
"Oops: %s","Ups: %s"
"Privacy:","Prywatność:"
"(Must be at least 4 characters, letters and numbers only.)","(Musi składać się z co najmniej 4 znaków; wyłącznie liter i cyfr)."
"Email&nbsp;Address:","Adres&nbsp;e-mail:"
"There was a problem, please correct the form below and try again.","Wystąpił problem. Proszę poprawić dane wprowadzone do pól poniższego formularza i spróbować ponownie."
"Get your own %s account in seconds","Załóż swoje własne konto w sieci %s w ciągu kilku sekund"
"Just a username, please.","Proszę tylko wprowadzić o nazwę użytkownika."
"Next","Dalej"
"%s is your new username","%s jest Twoją nową nazwą użytkownika"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Zanim zaczniesz używać swojej nowej nazwy użytkownika, <strong>konieczna jest jej aktywacja</strong>."
"If you do not activate your username within two days, you will have to sign up again.","Jeśli nie aktywujesz swojej nazwy użytkownika w ciągu dwóch dni, konieczne będzie dokonanie ponownej rejestracji."
"Signup","Zarejestruj się"
"Still waiting for your email?","Nadal czekasz na e-maila?"
"Registration has been disabled.","Możliwość rejestracji została wyłączona."
"User registration has been disabled.","Możliwość rejestracji kont została wyłączona."
"Help","Pomoc"
"Black","Czarny"
"Brown","Brązowy"
"Green","Zielony"
"Orange","Pomarańczowy"
"Pink","Różowy"
"Purple","Fioletowy"
"Red","Czerwony"
"Silver","Srebrny"
"White","Biały"
"Yellow","Żółty"
"Width","Szerokość"
"About","Informacje"
"<strong>ERROR</strong>: Please enter a username.","<strong>BŁĄD</strong>: Proszę wprowadzić nazwę użytkownika."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>BŁĄD</strong>: Ten adres e-mail jest już zarejestrowany, proszę skorzystać z innego."
"There are no options for this widget.","Ten widget nie posiada opcji."
"Strength indicator","Siłomierz"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Wskazówka: Twoje hasło powinno składać się z co najmniej siedmiu znaków. Aby było ono silniejsze, możesz skorzystać z wielkich i małych liter, cyfr i symboli, takich jak !, \", ?, $, %s, ^, &amp; czy )."
"Very weak","Bardzo słabe"
"Weak","Słabe"
"Strong","Silne"
"Edit Category","Edytuj kategorię"
"Edit Link","Edytuj odnośnik"
"Enabled","Włączone"
"Allow people to post comments on new articles","Zezwól na komentowanie nowych artykułów"
"Date Format","Format daty"
"Time Format","Format godziny"
"Height","Wysokość"
"Default","Domyślny"
"Plugin","Wtyczkę"
"Insert Image","Wstaw obrazek"
"Visual","Wizualny"
"Title:","Tytuł:"
"Separate tags with commas","Oddziel kolejne tagi przecinkami"
"Select All","Zaznacz wszystko"
"(required)","(wymagane)"
"Website","Witryna internetowa"
"Widgets","Widgety"
"Sorry, your entry could not be posted. Something wrong happened.","Przepraszamy, Twój wpis nie mógł zostać dodany. Coś poszło nie tak."
"Sorry, you do not have the right to edit this post.","Przepraszamy, nie posiadasz uprawnienia do edycji tego wpisu."
"For some strange yet very annoying reason, this post could not be edited.","Z jakiegoś dziwnego, lecz bardzo irytującego powodu ten wpis nie mógł zostać zmodyfikowany."
"Sorry, you do not have the right to delete this post.","Przepraszamy, nie posiadasz uprawnienia do usunięcia tego wpisu."
"For some strange yet very annoying reason, this post could not be deleted.","Z jakiegoś dziwnego, lecz bardzo irytującego powodu ten wpis nie mógł zostać usunięty."
"Sorry, comments are closed for this item.","Przepraszamy, tego artykułu nie można komentować."
"Sorry, you must be logged in to post a comment.","Przepraszamy, musisz się zalogować, aby móc napisać komentarz."
"Akismet Configuration","Konfiguracja Akismeta"
"Your key has been cleared.","Twój klucz został wyczyszczony."
"Your key has been verified. Happy blogging!","Twój klucz został pomyślnie zweryfikowany. Miłego blogowania!"
"The key you entered is invalid. Please double-check it.","Wprowadzony klucz jest nieprawidłowy. Proszę sprawdzić go dwukrotnie."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Wprowadzony klucz nie mógł zostać zweryfikowany, ponieważ nie można było połączyć się z akismet.com. Proszę sprawdzić konfigurację serwera."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Nie udało się połączyć się z serwerem Akismeta. Proszę sprawdzić konfigurację serwera."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Proszę wprowadzić klucz API. (<a href=\"%s\" style=\"color:#fff\">Zdobądź swój klucz.</a>)"
"This key is valid.","Ten klucz jest prawidłowy."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Poniższy klucz został już wcześniej zweryfikowany, ale połączenie z akismet.com nie może zostać w tej chwili ustanowione. Proszę sprawdzić konfigurację serwera."
"Why might my key be invalid?","Dlaczego mój klucz może być nieprawidłowy?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Przyczyny tego problemu mogą być dwie - możliwe, że klucz został nieprawidłowo skopiowany lub wtyczka nie może połączyć się z serwerami Akismeta, co często powodowane jest ustawieniami zapór sieciowych na serwerach WWW."
"Update options &raquo;","Zaktualizuj opcje &raquo;"
"Server Connectivity","Łączność z serwerem"
"Unable to reach some Akismet servers.","Nie można było połączyć się z niektórymi serwerami Akismeta."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z połączeniem sieciowym lub zaporą ogniową blokuje pewne połączenia z Twojego serwera WWW do serwera Akismet.com.  Akismet pracuje, ale taki stan rzeczy może powodować problemy w czasie przeciążenia sieci.  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"Unable to reach any Akismet servers.","Nie udało się połączyć z żadnymi serwerami Akismeta."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z połączeniem sieciowym lub zaporą ogniową blokuje wszystkie połączenia z Twojego serwera WWW do serwera Akismet.com.  <strong>Akismet nie może pracować prawidłowo, dopóki nie zostanie to naprawione.</strong>  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"All Akismet servers are available.","Wszystkie serwery Akismeta są osiągalne."
"Akismet is working correctly.  All servers are accessible.","Akismet pracuje prawidłowo.  Wszystkie serwery są osiągalne."
"Network functions are disabled.","Funkcja sieci jest wyłączona."
"Unable to find Akismet servers.","Nie udało się znaleźć serwerów Akismeta."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z serwerami DNS lub zaporą ogniową blokuje wszelkie połączenia z Twojego serwera do serwera Akismet.com.  <strong>Akismet nie może pracować prawidlowo, dopóki nie zostanie to zmienione.</strong>  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"Akismet server","Serwer Akismeta"
"Network Status","Stan połączenia sieciowego"
"Last checked %s ago.","Ostatnio sprawdzono %s temu."
"Check network status &raquo;","Sprawdź stan połączenia sieciowego &raquo;"
"Akismet Stats","Statystyki Akismeta"
"Akismet is almost ready.","Akismet jest już prawie gotów."
"Akismet has detected a problem.","Akismet wykrył problem."
"Akismet Spam (%s)","Oznaczone jako spam przez Akismeta (%s)"
"Akismet Spam","Oznaczone jako spam przez Akismeta"
"You do not have sufficient permission to moderate comments.","Nie posiadasz wystarczających uprawnień, by moderować komentarze."
"%s comments recovered.","%s komentarzy zostało przywróconych."
"All spam deleted.","Cały spam został usunięty."
"Caught Spam","Przechwycony spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet przechwycił dla Ciebie <strong>%s komentarzy będących spamem</strong> od czasu, kiedy zainstalowano go po raz pierwszy."
"You have no spam currently in the queue. Must be your lucky day. :)","Obecnie w kolejce nie znajdują się żadne komentarze będące spamem. To musi być Twój szczęśliwy dzień. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Możesz usunąć cały spam ze swojej bazy danych za pomocą jednego kliknięcia. Ta operacja nie może zostać cofnięta, więc rozważ sprawdzenie, czy poddane jej nie zostaną jakieś komentarze, które nie są spamem. Nie przejmuj się &mdash; spam jest automatycznie usuwany po 15 dniach."
"There are currently %s comments identified as spam.","%s komentarzy zostało zidentyfikowanych jako spam."
"Delete all","Usuń wszystkie"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Oto najnowsze komentarze zidentyfikowane przez Akismeta jako spam. Jeżeli dostrzeżesz błędnie zidentyfikowane komentarze, po prostu wycofaj oznaczenie ich jako spam, a Akismet nauczy się na błędach i przywróci komentarze. Po 15 dniach sami wyniesiemy za Ciebie śmieci."
"All","Wszystkie"
"Search Spam &raquo;","Szukaj spamu &raquo;"
"&laquo; Previous Page","&laquo; Poprzednia strona"
"Next Page &raquo;","Następna strona &raquo;"
"De-spam marked comments &raquo;","Cofnij oznaczenie zaznaczonych komentarzy jako spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentarze, którym wycofasz oznaczenie jako spam zostaną przekazane do Akismeta jako błędy, aby mógł on się na nich nauczyć i poprawić."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> ochronił Twoją witrynę przed <a href=\"%s\">%s komentarzami będącymi spamem</a>."
"Recheck Queue for Spam","Przeszukaj kolejkę w poszukiwaniu spamu ponownie"
"Check for Spam","Szukaj spamu"
"Comments on %s","Komentarze do %s"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Ta strona jest oparta na WordPressie &mdash; nowoczesnej, semantycznej, osobistej platformie publikacyjnej."
"Enter your password to view comments.","Wprowadź swoje hasło, aby zobaczyć komentarze."
"No Comments","Brak komentarzy"
"1 Comment","1 komentarz"
"%s Comments","%s komentarzy"
"Edit This","Edytuj"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Musisz się <a href=\"%s\">zalogować</a>, aby móc dodać komentarz."
"Tags:","Tagi: "
"(more...)","(więcej...)"
"Pages:","Strony:"
"The latest comments to all posts in RSS","Najnowsze komentarze do wszystkich wpisów dostępne poprzez kanał RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kanał <abbr title=\"Really Simple Syndication\">RSS</abbr> z komentarzami"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">pisze:</span>"
"Your comment is awaiting moderation.","Twój komentarz oczekuje na moderację."
"%s at %s","%s o %s"
"(Edit)","(Edytuj)"
"View all posts in %s","Zobacz wszystkie wpisy z kategorii &#8222;%s&#8221;"
"XML error: %s at line %d","Błąd XML: %s w %d. linii"
"Visit %s&#8217;s website","Odwiedź witrynę internetową osoby podpisującej się &#8222;%s&#8221;"
"Posts by %s","Wpisy, których autorem jest %s"
"Last updated: %s","Ostatnia aktualizacja: %s"
"Bookmarks","Zakładki"
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Używanie poziomów użytkowników przez wtyczki i motywy jest przestarzałą praktyką. Wykorzystaj system ról i uprawnień."
"No categories","Brak kategorii"
"%s topic","%s temat"
"%s topics","%s tematy"
"No server specified","Nie podano nazwy serwera"
"no login ID submitted","nie wysłano identyfikatora sesji logowania się"
"connection not established","połączenie nie zostało nawiązane"
"No password submitted","Nie podano hasła"
"Authentication failed","Uwierzytelnianie nie powiodło się"
"No connection to server","Brak połączenia z serwerem"
"No login ID submitted","Identyfikator sesji logowania się nie został wysłany"
"No server banner","Brak banneru serwera"
"abort","przerwij"
"apop authentication failed","uwierzytelnianie na serwerze apop nie powiodło się"
"Premature end of list","Niespodziewany koniec listy"
"Empty command string","Nie podano polecenia"
"connection does not exist","nie połączono"
"No msg number submitted","Nie podano numeru wiadomości"
"Command failed","Wykonywanie polecenia nie powiodło się "
"View all posts filed under %s","Zobacz wszystkie wpisy z kategorii &#8222;%s&#8221;"
"Feed for all posts filed under %s","Kanał z wpisami zaszufladkowanymi do &#8222;%s&#8221;"
"Comments Off","Komentowanie nie jest możliwe"
"Comment on %s","Skomentuj &#8222;%s&#8221;"
"Log in to Reply","Zaloguj się, aby móc odpowiedzieć"
"Leave a Comment","Dodaj komentarz"
"Log in to leave a Comment","Zaloguj się, aby dodać komentarz"
"Click here to cancel reply.","Kliknij tutaj, aby anulować odpowiadanie."
"Leave a Reply","Dodaj komentarz"
"Leave a Reply to %s","Odpowiedz na &#8222;%s&#8221;"
"Author","Autor"
"URL","Adres URL"
"Comment","Komentarz"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Edit","Edytuj"
"Restore","Przywróć"
"%s ago","%s temu"
"Undo","Cofnij"
"Not Spam","To nie jest spam"
"Apply","Zastosuj"
"Comments","komentarze"
"Publish","Opublikuj"
"Excerpt","Wypis"
"Revisions","Wersje wpisu"
"Approved","zatwierdzone"
"Spam","Oznacz jako spam"
"Link Categories","Kategorie odnośników"
"Search Categories","Szukaj kategorii"
"Edit Link Category","Edytuj kategorię odnośników"
"Update Category","Zaktualizuj kategorię"
"Add Link","Dodaj odnośnik"
"Save","Zapisz"
"Target","Cel"
"Advanced","Zaawansowane"
"Description","Opis"
"None","Brak"
"Invalid taxonomy","Błąd w taksonomii"
"Edit Tag","Edytuj tag"
"View Post","Zobacz wpis"
"Edit Post","Edytuj wpis"
"Done","Gotowe"
"Anonymous","Anonim"
"Submit","Wyślij"
"Invalid file type","Nieprawidłowy typ pliku"
"Preview","Podejrzyj"
"Recent Comments","Najnowsze komentarze"
"Cancel","Anuluj"
"Content","Treść"
"Save Draft","Zapisz szkic"
"No comments yet.","Brak komentarzy."
"Edit comment","Edytuj komentarz"
"Reply","Odpowiedz"
"Number of comments to show:","Liczba wyświetlanych komentarzy:"
"<strong>RSS Error</strong>: %s","<strong>Błąd RSS</strong>: %s"
"Unknown Feed","Nieznany kanał"
"Header","Nagłówek"
"Sidebar","Panel boczny"
"Archives","Archiwa"
"Password","Hasło"
"Redo","Ponów"
"Scale","Skala"
"Thumbnail","Miniatura"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Czy plik &#8222;%s&#8221; istnieje?"
"The GD image library is not installed.","Biblioteka &#8222;GD&#8221; nie jest zainstalowana."
"File &#8220;%s&#8221; is not an image.","Plik &#8222;%s&#8221; nie jest obrazkiem."
"Add Media","Dodaj medium"
"Add an Image","Dodaj obrazek"
"Add Video","Dodaj film"
"Add Audio","Dodaj plik dźwiękowy"
"Saved.","Zapisano."
"Left","Do lewej"
"Center","Do środka"
"Right","Do prawej"
"Full Size","Pełny rozmiar"
"Size","Rozmiar"
"Alignment","Wyrównanie"
"Caption","Etykieta"
"Link URL","Adres URL odnośnika"
"Enter a link URL or click above for presets.","Wprowadź adres URL odnośnika lub wybierz jeden z predefiniowanych powyżej."
"Edit Image","Edytuj obrazek"
"Image URL","Adres URL obrazka"
"Save as Pending","Zapisz jako oczekującą na przegląd"
"Privately Published","Opublikowano jako prywatne"
"Public, Sticky","Publiczne, przyklejone"
"Schedule","Zaplanuj"
"Add or remove tags","Dodaj lub usuń tagi"
"Add","Dodaj"
"All Categories","Wszystkie kategorie"
"Dismiss","Ukryj"
"Search","Szukaj"
"Version","Wersja"
"Version:","Wersja:"
"Visit author homepage","Odwiedź stronę domową autora"
"Images","Obrazki"
"View Page","Zobacz stronę"
"Links","Odnośniki"
"Uncategorized","Bez kategorii"
"Close","Zamknij"
"Select","Wybierz"
"New Page","Nowa strona"
"Edit Media","Edytuj medium"
"New Post","Nowy wpis"
"(no title)","(bez tytułu)"
"Activation Key Required","Wymagany jest klucz aktywacyjny"
"Activation Key:","Klucz aktywacyjny:"
"Your account is now active!","Twoje konto zostało aktywowane!"
"An error occurred during the activation","Wystąpił błąd podczas aktywacji"
"Username:","Nazwa użytkownika:"
"No posts found.","Nie znaleziono żadnych wpisów."
"Pending Review","Oczekuje na przegląd"
"Y/m/d","d.m.Y"
"Visit Site","Przejdź do witryny"
"Log Out","Wyloguj się"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Opublikowano </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Odnośnik do pełnowymiarowego obrazka\">%s &times; %s</a> in <a href=\"%s\" title=\"Powrót do %s\" rel=\"gallery\">%s</a>."
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Motyw 2012 jest w pełni responsywny i świetnie wygląda na różnych urządzeniach. Szerokie możliwości konfiguracji: własny szablon strony głównej z własnymi widgetami, wybór kroju czcionki, zmiany wyglądu wpisów na podstawie ich typów obejmuje zarówno tryb pojedynczego wpisu jak i wyświetlanie na listach oraz opcjonalny szablon bez panelu bocznego. Dodatkowo można ustawić własne: menu czy obrazek w nagłówku oraz wybrać tło."
"on",""
"no-subset",""
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Pojawia się na wpisach i stronach, z wyjątkiem opcjonalnego szablonu strony tytułowej, która ma swoje własne widgety."
"First Front Page Widget Area","Pierwszy obszar widgetu strony tytułowej"
"Appears when using the optional Front Page template with a page set as Static Front Page","Pojawia się przy użyciu opcjonalnego szablon strony głównej z wybraną stroną statyczną"
"Second Front Page Widget Area","Drugi obszar widgetu strony tytułowej"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Wpis opublikowany w %s i otagowany %s %s<span class=\"by-author\"> przez %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Ten wpis został opublikowany w %s dnia %s, <span class=\"by-author\">przez %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Ten wpis został opublikowany dnia %s, <span class=\"by-author\">przez %s</span>."
"Front Page Template","Szablon strony startowej"
"Full-width Page Template, No Sidebar","Szablon strony bez paska bocznego"
"Featured post","Wyróżniony wpis"
"Page %s","Strona %s"
"%s Replies","%s odpowiedzi"
"1 Reply","1 odpowiedź"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Nie udało się znaleźć tego, czego szukasz. Być może wyszukiwanie przyniesie lepsze rezultaty."
"Apologies, but no results were found. Perhaps searching will help find a related post.","Przepraszamy, ale niczego nie znaleziono. Być może użycie wyszukiwarki przyniesie oczekiwany rezultat."
"Post author","Autor wpisu"
"Skip to content","Przeskocz do treści"
"No posts to display","Brak wpisów"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Czy chcesz opublikować swój pierwszy wpis? <a href=\"%s\">Kliknij tutaj</a>."
"View all posts by %s","Zobacz wszystkie wpisy, których autorem jest %s"
"&larr; Previous","&larr; Poprzednie"
"Next &rarr;","Następne &rarr;"
"Search Results for: %s","Wyniki wyszukiwania dla zapytania &#8222;%s&#8221;"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Przepraszamy, ale nic nie zostało dopasowane do Twoich kryteriów wyszukiwania. Proszę spróbować ponownie, korzystając z innych słów kluczowych."
"the WordPress team","zespół WordPressa"
